epoch,dice_coefficient,iou_metric,loss,lr,precision,recall,val_dice_coefficient,val_iou_metric,val_loss,val_precision,val_recall
0,0.2928508222103119,0.17312520742416382,0.7071491479873657,0.001,0.1882004290819168,0.8795010447502136,0.14618203043937683,0.07888046652078629,0.8538179397583008,0.3463039696216583,0.006378931924700737
1,0.4312804341316223,0.27553993463516235,0.5687195658683777,0.001,0.43741828203201294,0.8284695744514465,0.16094337403774261,0.08755208551883698,0.8390566110610962,0.08755003660917282,1.0
2,0.5026835203170776,0.3363087773323059,0.4973164498806,0.001,0.5618829131126404,0.7942328453063965,0.16093887388706207,0.08754940330982208,0.8390611410140991,0.08754940330982208,1.0
3,0.5417594313621521,0.37212008237838745,0.4582405686378479,0.001,0.5955983996391296,0.7931084632873535,0.16093887388706207,0.08754940330982208,0.8390611410140991,0.08754940330982208,1.0
4,0.579853892326355,0.40900397300720215,0.42014604806900024,0.001,0.6256376504898071,0.7992250919342041,0.16093887388706207,0.08754940330982208,0.8390611410140991,0.08754940330982208,1.0
5,0.6071473360061646,0.4364761710166931,0.39285269379615784,0.001,0.6414302587509155,0.7989423274993896,0.16093887388706207,0.08754940330982208,0.8390611410140991,0.08754940330982208,1.0
6,0.629612147808075,0.4599706530570984,0.3703877627849579,0.001,0.6694179773330688,0.7787767052650452,0.16093918681144714,0.0875495970249176,0.8390607833862305,0.08754940330982208,1.0
7,0.6509024500846863,0.4832368791103363,0.3490975797176361,0.001,0.6840240359306335,0.7768769860267639,0.16098237037658691,0.08757515251636505,0.8390176892280579,0.0875772088766098,1.0
8,0.6625944375991821,0.49592798948287964,0.33740559220314026,0.001,0.686826229095459,0.7706698179244995,0.16095593571662903,0.08755950629711151,0.8390439748764038,0.0875597894191742,1.0
9,0.6835139393806458,0.5197807550430298,0.31648603081703186,0.001,0.7034241557121277,0.778606653213501,0.16305844485759735,0.08880538493394852,0.8369415998458862,0.08887583762407303,1.0
10,0.6964777112007141,0.5350039601325989,0.3035222589969635,0.001,0.7142630815505981,0.7771266102790833,0.17704284191131592,0.09716533124446869,0.8229572176933289,0.09815855324268341,0.9996514320373535
11,0.7080147862434387,0.5486230850219727,0.2919851839542389,0.001,0.720153272151947,0.7829450368881226,0.17654402554035187,0.09686428308486938,0.8234559893608093,0.0982254147529602,0.9978061318397522
12,0.7140849828720093,0.5559457540512085,0.2859150469303131,0.001,0.7240793108940125,0.7789777517318726,0.14228881895542145,0.07665808498859406,0.857711136341095,0.11186173558235168,0.1968907117843628
13,0.7187312841415405,0.5615171790122986,0.2812687158584595,0.001,0.7247889637947083,0.7781449556350708,0.16551974415779114,0.09026743471622467,0.8344802856445312,0.09034105390310287,0.9999934434890747
14,0.7218944430351257,0.5653496980667114,0.27810555696487427,0.001,0.7289078235626221,0.7726534605026245,0.22613279521465302,0.1276014894247055,0.7738671898841858,0.17241433262825012,0.3813612163066864
15,0.7281069755554199,0.5730847120285034,0.2718930244445801,0.001,0.7340227961540222,0.7740429043769836,0.25040721893310547,0.14324219524860382,0.7495927810668945,0.1854492574930191,0.4587036073207855
16,0.7346736192703247,0.580945611000061,0.2653263211250305,0.001,0.7403185367584229,0.7758233547210693,0.13883619010448456,0.07481841742992401,0.8611637949943542,0.31460994482040405,0.07187191396951675
17,0.7422770857810974,0.5907456278800964,0.2577228844165802,0.001,0.7456371188163757,0.7820327281951904,0.04661386460065842,0.023892445489764214,0.9533861875534058,0.08370698243379593,0.005897462368011475
18,0.7456067204475403,0.5949446558952332,0.25439324975013733,0.001,0.7502343654632568,0.779514491558075,0.03551449626684189,0.018090639263391495,0.9644855260848999,0.04435143247246742,0.002516279462724924
19,0.7409241795539856,0.5892547369003296,0.2590758204460144,0.001,0.7444575428962708,0.7718825340270996,0.052734147757291794,0.027243539690971375,0.9472658038139343,0.13169704377651215,0.016494158655405045
20,0.7472196817398071,0.5972216725349426,0.2527802884578705,0.001,0.7477703094482422,0.779711127281189,0.03952787443995476,0.020227661356329918,0.9604722261428833,0.06926187872886658,0.009252501651644707
21,0.7487837076187134,0.5990039706230164,0.251216322183609,0.001,0.7497954368591309,0.7772017121315002,0.264526903629303,0.15269926190376282,0.735473096370697,0.2469884157180786,0.324201375246048
22,0.7494772672653198,0.5998200178146362,0.25052276253700256,0.001,0.7560217976570129,0.7703539133071899,0.19036038219928741,0.10580755770206451,0.809639573097229,0.18602150678634644,0.1921827644109726
23,0.7474358081817627,0.5972993969917297,0.2525641918182373,0.001,0.7426369786262512,0.7776148319244385,0.19565506279468536,0.10938595235347748,0.8043449521064758,0.3913368880748749,0.1252802163362503
24,0.7484148740768433,0.5983753204345703,0.25158512592315674,0.001,0.7451942563056946,0.7759978175163269,0.12926386296749115,0.06962872296571732,0.8707361221313477,0.34314924478530884,0.07151462882757187
25,0.7533276677131653,0.6048260927200317,0.2466723620891571,0.001,0.7536526918411255,0.7757261395454407,0.2585281729698181,0.14927172660827637,0.7414718866348267,0.4576737582683563,0.18045972287654877
26,0.7596663236618042,0.6129163503646851,0.2403337061405182,0.001,0.760348379611969,0.7808862924575806,0.27725762128829956,0.1620958298444748,0.7227424383163452,0.47467735409736633,0.19592122733592987
27,0.762083888053894,0.6160629391670227,0.23791608214378357,0.001,0.761372983455658,0.7831040620803833,0.4013347625732422,0.2520292401313782,0.5986652970314026,0.558462381362915,0.32660871744155884
28,0.764011025428772,0.6185503602027893,0.23598894476890564,0.001,0.7646830081939697,0.7823972105979919,0.32208794355392456,0.1928933560848236,0.6779120564460754,0.5193579792976379,0.23432554304599762
29,0.7623619437217712,0.616617739200592,0.23763804137706757,0.001,0.7603321075439453,0.783276379108429,0.33234310150146484,0.20028288662433624,0.6676568984985352,0.49984636902809143,0.25161051750183105
30,0.7530573606491089,0.6044012904167175,0.2469426393508911,0.001,0.7565672397613525,0.7657924294471741,0.43424901366233826,0.2783184349536896,0.5657509565353394,0.5641158819198608,0.3595556616783142
31,0.7680773138999939,0.6237325668334961,0.23192262649536133,0.001,0.7623594999313354,0.7905416488647461,0.35351067781448364,0.2159775048494339,0.6464893817901611,0.5313249826431274,0.26578229665756226
32,0.767565131187439,0.6234226226806641,0.23243489861488342,0.001,0.7677651047706604,0.7822977900505066,0.4341096878051758,0.27869686484336853,0.5658901929855347,0.5438682436943054,0.3690608739852905
33,0.7700849771499634,0.6264327168464661,0.22991499304771423,0.001,0.7678530812263489,0.7874623537063599,0.543234646320343,0.3736274838447571,0.456765353679657,0.5805777907371521,0.5246627926826477
34,0.7729076147079468,0.630256175994873,0.2270924597978592,0.001,0.7649226784706116,0.7953505516052246,0.4736843705177307,0.3116038143634796,0.5263156294822693,0.5675836801528931,0.41509899497032166
35,0.7749341726303101,0.632691502571106,0.22506582736968994,0.001,0.7713063359260559,0.7917654514312744,0.5134945511817932,0.3467799127101898,0.4865054488182068,0.5891838073730469,0.46702802181243896
36,0.7726656794548035,0.6300451159477234,0.22733435034751892,0.001,0.7683701515197754,0.7900888323783875,0.526922345161438,0.35868579149246216,0.47307759523391724,0.5888745188713074,0.48496440052986145
37,0.7651125192642212,0.6198517084121704,0.23488745093345642,0.001,0.760182797908783,0.7818648219108582,0.5683959722518921,0.39780330657958984,0.4316039979457855,0.6057567000389099,0.5458344221115112
38,0.7716058492660522,0.6284235715866089,0.22839412093162537,0.001,0.7708368897438049,0.7840229868888855,0.5438272356987,0.37453314661979675,0.45617276430130005,0.6391843557357788,0.48075535893440247
39,0.7775557637214661,0.6363574862480164,0.22244422137737274,0.001,0.7703580260276794,0.7967223525047302,0.5275779962539673,0.3591960072517395,0.4724220335483551,0.5900666117668152,0.48584455251693726
40,0.7736846804618835,0.6312896013259888,0.22631528973579407,0.001,0.7659705877304077,0.7932100892066956,0.5834969878196716,0.4127368927001953,0.41650301218032837,0.6137446761131287,0.5655943155288696
41,0.7675802111625671,0.6233879327774048,0.23241977393627167,0.001,0.765075147151947,0.7812132239341736,0.5715554356575012,0.4020446836948395,0.4284445643424988,0.6342638731002808,0.5304709672927856
